[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 259 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 260 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 261 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 262 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 263 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 264 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 265 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 266 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 267 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 268 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 269 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 270 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 271 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 272 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 273 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 274 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 275 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 276 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 277 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 278 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 279 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 280 common.php 第 146 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 281 common.php 第 155 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 282 common.php 第 155 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 283 common.php 第 155 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 284 common.php 第 155 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 285 common.php 第 155 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 286 common.php 第 155 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 281 common.php 第 230 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 282 common.php 第 230 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 283 common.php 第 230 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 284 common.php 第 230 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 285 common.php 第 230 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 286 common.php 第 230 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | SQL: SELECT * FROM `hd_goods_attr` WHERE id in ( 282, 284)  [ RunTime:0.000360s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_template ] --START--
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000125s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000160s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ParseTemplate Behavior [ RunTime:0.002386s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.002444s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_filter ] --START--
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ContentReplace Behavior [ RunTime:0.000103s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run TokenBuild Behavior [ RunTime:0.000057s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000030s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000068s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000339s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_end ] --START--
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000039s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000068s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_template ] --START--
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000022s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_template ] --END-- [ RunTime:-0.003001s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined index: cid TagLibList.class.php 第 31 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined index: cid TagLibList.class.php 第 31 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined index: cid TagLibList.class.php 第 31 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined index: cid TagLibList.class.php 第 31 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ParseTemplate Behavior [ RunTime:0.009906s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.000591s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_filter ] --START--
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ContentReplace Behavior [ RunTime:0.000077s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run TokenBuild Behavior [ RunTime:0.000025s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000006s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000052s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.010223s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_end ] --START--
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000018s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_end ] --END-- [ RunTime:-0.010740s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_template ] --START--
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000044s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_template ] --END-- [ RunTime:-0.013798s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ParseTemplate Behavior [ RunTime:0.002796s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.011420s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_filter ] --START--
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ContentReplace Behavior [ RunTime:0.000050s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run TokenBuild Behavior [ RunTime:0.000029s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000007s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000047s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.013917s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /var/www/html/thinkmao/ThinkPHP/Lib/Core/View.class.php:124) View.class.php 第 120 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /var/www/html/thinkmao/ThinkPHP/Lib/Core/View.class.php:124) View.class.php 第 121 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /var/www/html/thinkmao/ThinkPHP/Lib/Core/View.class.php:124) View.class.php 第 122 行.
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_end ] --START--
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000014s ]
[ 2013-01-31T10:34:38+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_end ] --END-- [ RunTime:-0.014107s ]
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | INFO: Tag[ route_check ] --START--
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | INFO: Run CheckRoute Behavior [ RunTime:0.000065s ]
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | INFO: Tag[ route_check ] --END-- [ RunTime:0.000174s ]
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | INFO: Tag[ app_begin ] --START--
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000075s ]
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000104s ]
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.001510s ]
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | SQL: SHOW COLUMNS FROM `hd_goods_attr` [ RunTime:0.000945s ]
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | SQL: SHOW COLUMNS FROM `hd_type_attr` [ RunTime:0.000635s ]
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | SQL: SHOW COLUMNS FROM `hd_brand` [ RunTime:0.000409s ]
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | SQL: SHOW COLUMNS FROM `hd_goods_intro` [ RunTime:0.000388s ]
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | SQL: SHOW COLUMNS FROM `hd_goods_list` [ RunTime:0.000447s ]
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | SQL: SELECT goods.sell_num AS sell_num,goods.id AS gid,goods.name AS gname,goods.unit AS unit,goods.number AS number,goods.price AS price,goods.pic AS pic,goods.click AS click,goods.recommend AS recommend,goods.hot AS hot,goods.time AS time,goods.cid AS cid,goods.bid AS bid,goods.tid AS tid,goods.mprice AS mprice,goods_attr.id AS attrid,goods_attr.value AS value,goods_attr.price AS attr_price,type_attr.id AS attr_id,type_attr.name AS attr_name,type_attr.type AS type,brand.name AS brand_name,brand.logo AS logo,brand.hot AS hot_brand,goods_intro.mini AS mini,goods_intro.medium AS medium,goods_intro.max AS max,goods_intro.intro AS intro,goods_intro.service AS service,goods_list.id AS in_id,goods_list.inventory AS inventory,goods_list.attr AS attr_com,goods_list.number AS in_number,goods_list.series AS series,goods_list.price AS in_price FROM hd_goods goods LEFT JOIN hd_goods_attr goods_attr ON goods_attr.gid =goods.id LEFT JOIN hd_type_attr type_attr ON goods_attr.aid = type_attr.id  JOIN hd_brand brand ON goods.bid = brand.id  JOIN hd_goods_intro goods_intro ON goods.id = goods_intro.gid  JOIN hd_goods_list goods_list ON goods.id = goods_list.gid WHERE ( goods.id = '16' )  [ RunTime:0.000841s ]
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 259 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 260 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 261 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 262 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 263 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 264 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 265 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 266 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 267 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 268 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 269 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 270 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 271 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 272 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 273 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 274 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 275 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 276 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 277 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 278 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 279 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 280 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 281 common.php 第 155 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 282 common.php 第 155 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 283 common.php 第 155 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 284 common.php 第 155 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 285 common.php 第 155 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 286 common.php 第 155 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 281 common.php 第 230 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 282 common.php 第 230 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 283 common.php 第 230 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 284 common.php 第 230 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 285 common.php 第 230 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 286 common.php 第 230 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | SQL: SELECT * FROM `hd_goods_attr` WHERE id in ( 282, 284)  [ RunTime:0.000299s ]
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | SQL: SELECT goods.sell_num AS sell_num,goods.id AS gid,goods.name AS gname,goods.unit AS unit,goods.number AS number,goods.price AS price,goods.pic AS pic,goods.click AS click,goods.recommend AS recommend,goods.hot AS hot,goods.time AS time,goods.cid AS cid,goods.bid AS bid,goods.tid AS tid,goods.mprice AS mprice,goods_attr.id AS attrid,goods_attr.value AS value,goods_attr.price AS attr_price,type_attr.id AS attr_id,type_attr.name AS attr_name,type_attr.type AS type,brand.name AS brand_name,brand.logo AS logo,brand.hot AS hot_brand,goods_intro.mini AS mini,goods_intro.medium AS medium,goods_intro.max AS max,goods_intro.intro AS intro,goods_intro.service AS service,goods_list.id AS in_id,goods_list.inventory AS inventory,goods_list.attr AS attr_com,goods_list.number AS in_number,goods_list.series AS series,goods_list.price AS in_price FROM hd_goods goods LEFT JOIN hd_goods_attr goods_attr ON goods_attr.gid =goods.id LEFT JOIN hd_type_attr type_attr ON goods_attr.aid = type_attr.id  JOIN hd_brand brand ON goods.bid = brand.id  JOIN hd_goods_intro goods_intro ON goods.id = goods_intro.gid  JOIN hd_goods_list goods_list ON goods.id = goods_list.gid WHERE ( goods.id = '16' )  [ RunTime:0.000797s ]
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 259 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 260 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 261 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 262 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 263 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 264 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 265 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 266 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 267 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 268 common.php 第 146 行.
[ 2013-01-31T10:34:39+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 269 common.php 第 146 行.
